N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
102,호텔신라,"86,500","1,200",-1.37%,"5,000","33,950","39,248",17.27,"435,112",-26.31,-36.74,
103,두산퓨얼셀,"51,500",200,-0.39%,100,"33,729","65,494",13.51,"670,090",858.33,4.18,
104,GS리테일,"31,900",900,-2.74%,"1,000","33,405","104,718",9.96,"499,377",17.51,7.50,
105,한화시스템,"17,650",550,-3.02%,"5,000","33,344","188,919",3.14,"2,057,932",19.14,9.35,
106,한미약품,"273,000","2,500",-0.91%,"2,500","32,974","12,078",13.25,"47,746",142.78,1.65,
107,씨에스윈드,"75,700","1,000",-1.30%,500,"31,924","42,171",11.28,"360,379",53.69,8.19,
108,에스원,"83,500","1,000",-1.18%,500,"31,729","37,999",53.99,"59,128",21.65,10.48,
109,한국항공우주,"32,550",600,-1.81%,"5,000","31,728","97,475",13.41,"649,450",161.14,6.39,
110,SK케미칼,"268,000","3,500",-1.29%,"5,000","31,494","11,751",17.21,"182,073",34.05,30.49,
111,한화생명,"3,605",10,+0.28%,"5,000","31,310","868,530",8.18,"8,373,324",5.71,1.90,
112,신풍제약,"58,000","5,400",-8.52%,500,"30,731","52,985",7.46,"2,221,934",966.67,1.72,
113,코오롱인더,"111,500","2,500",+2.29%,"5,000","30,081","26,979",21.46,"545,526",22.33,9.70,
114,포스코인터내셔널,"24,350",450,-1.81%,"5,000","30,042","123,375",9.37,"1,946,734",10.19,7.69,
115,BGF리테일,"173,000",0,0.00%,"1,000","29,901","17,284",33.17,"23,315",21.31,18.60,
116,효성티앤씨,"673,000","6,000",+0.90%,"5,000","29,125","4,328",23.15,"45,577",5.76,25.10,
117,더존비즈온,"95,800","3,200",-3.23%,500,"29,066","30,341",41.76,"260,445",46.69,15.09,
118,LG화학우,"376,500","8,000",-2.08%,"5,000","28,948","7,689",69.37,"30,460",10.14,N/A,
119,동서,"29,000",100,-0.34%,500,"28,913","99,700",3.23,"105,354",26.75,8.61,
120,롯데쇼핑,"101,500","3,000",-2.87%,"5,000","28,713","28,289",10.40,"126,087",-4.96,-7.70,
121,키움증권,"109,500","5,000",-4.37%,"5,000","28,710","26,220",24.52,"150,457",2.94,27.63,
122,CJ,"98,000","1,900",-1.90%,"5,000","28,593","29,177",17.79,"105,338",66.99,1.89,
123,대우조선해양,"26,400",350,-1.31%,"5,000","28,325","107,291",6.79,"416,445",-1.95,2.27,
124,BNK금융지주,"8,580",10,-0.12%,"5,000","27,965","325,935",39.60,"2,554,458",4.13,6.11,
125,한샘,"118,500",500,-0.42%,"1,000","27,888","23,534",18.81,"141,369",33.54,10.83,
126,대우건설,"6,700",120,-1.76%,"5,000","27,847","415,623",11.75,"1,409,441",6.10,11.06,
127,현대오토에버,"99,500","2,000",-1.97%,500,"27,287","27,424",1.76,"100,613",35.89,11.09,
128,현대미포조선,"68,300","1,600",-2.29%,"5,000","27,280","39,942",10.69,"458,181",-15.01,-0.84,
129,일진하이솔루스,"75,100",800,+1.08%,500,"27,271","36,313",4.08,"269,708",140.11,34.27,
130,만도,"56,600","1,000",-1.74%,"1,000","26,578","46,957",24.64,"356,573",11.21,0.37,
131,현대로템,"24,100",350,-1.43%,"5,000","26,303","109,142",4.25,"1,423,195",77.49,2.84,
132,신세계,"263,500","1,500",-0.57%,"5,000","25,942","9,845",27.51,"55,447",32.16,-2.81,
133,DL이앤씨,"133,000","1,500",-1.12%,"5,000","25,747","19,359",26.67,"106,239",N/A,N/A,
134,휠라홀딩스,"42,350","1,550",-3.53%,"1,000","25,729","60,752",47.49,"490,035",10.68,10.94,
135,한화,"34,150","1,450",-4.07%,"5,000","25,598","74,959",19.07,"607,234",6.56,4.79,
136,롯데정밀화학,"98,500","4,600",+4.90%,"5,000","25,413","25,800",21.59,"1,089,668",10.36,12.65,
137,제일기획,"21,850",400,-1.80%,200,"25,136","115,041",32.94,"481,609",13.45,16.11,
138,효성,"118,000",500,-0.42%,"5,000","24,864","21,071",9.39,"50,067",16.10,-2.26,
139,한화에어로스페이스,"48,400","2,200",-4.35%,"5,000","24,505","50,630",19.39,"822,467",9.36,4.78,
140,현대차우,"97,200","1,500",-1.52%,"5,000","23,675","24,357",59.00,"48,659",7.04,N/A,
141,DB하이텍,"53,300","1,300",-2.38%,"5,000","23,664","44,399",16.26,"951,119",14.17,23.07,
142,하이트진로,"33,000",350,-1.05%,"5,000","23,144","70,134",4.66,"197,389",33.03,8.23,
143,현대해상,"25,350",400,-1.55%,500,"22,663","89,400",27.24,"665,000",5.87,7.13,
144,TIGER 200,"40,040",585,-1.44%,0,"22,282","55,650",0.00,"1,477,429",N/A,N/A,
145,현대위아,"80,000",900,+1.14%,"5,000","21,756","27,195",8.62,"265,014",21.41,1.96,
146,KODEX 200선물인버스2X,"2,190",55,+2.58%,0,"21,657","988,900",4.52,"252,317,734",N/A,N/A,
147,솔루스첨단소재,"70,600","1,800",+2.62%,100,"21,596","30,590",8.08,"563,718",-183.85,-5.10,
148,대한전선,"2,440",10,-0.41%,500,"20,898","856,473",1.92,"8,513,576",-128.42,0.92,
149,TIGER 차이나전기차SOLACTIVE,"16,620",405,-2.38%,0,"20,669","124,360",0.60,"6,267,554",N/A,N/A,
150,LS,"63,600",600,-0.93%,"5,000","20,479","32,200",14.34,"90,451",8.25,3.94,
151,아시아나항공,"27,100",100,+0.37%,"5,000","20,166","74,412",9.53,"1,273,310",-29.46,-43.83,
152,KODEX 단기채권,"102,930",0,0.00%,0,"20,037","19,467",0.00,"10,866",N/A,N/A,
153,LS ELECTRIC,"66,500","1,800",-2.64%,"5,000","19,950","30,000",18.03,"109,849",21.75,6.15,
154,현대엘리베이,"48,100","1,650",-3.32%,"5,000","19,632","40,815",26.97,"343,697",20.37,9.78,
155,영원무역,"44,300",300,+0.68%,500,"19,630","44,311",27.74,"116,969",10.48,8.03,
156,대웅,"32,800","1,050",-3.10%,500,"19,071","58,142",3.85,"153,417",20.28,15.10,
157,후성,"20,500",0,0.00%,500,"18,984","92,607",5.23,"5,112,016",189.81,2.79,
158,한전기술,"49,250","1,850",-3.62%,200,"18,823","38,220",2.74,"305,784",91.04,N/A,
159,현대백화점,"79,400",900,-1.12%,"5,000","18,582","23,402",19.09,"122,846",14.35,1.65,
160,오뚜기,"490,000","4,500",-0.91%,"5,000","17,993","3,672",12.49,"5,424",20.50,7.93,
161,HDC현대산업개발,"27,050",400,-1.46%,"5,000","17,828","65,907",10.70,"402,248",9.66,8.85,
162,동국제강,"18,450",50,-0.27%,"5,000","17,607","95,433",23.38,"734,638",6.00,3.35,
163,프레스티지바이오파마,"29,000",600,-2.03%,0,"17,428","60,096",63.74,"494,516",-204.23,-1.78,
164,한전KPS,"38,100",300,-0.78%,200,"17,145","45,000",8.85,"249,076",17.55,8.23,
165,JB금융지주,"8,690",190,+2.24%,"5,000","17,118","196,983",40.57,"544,720",3.77,10.06,
166,농심,"279,500","3,000",-1.06%,"5,000","17,001","6,083",13.52,"19,539",15.35,7.50,
167,PI첨단소재,"57,000","1,100",-1.89%,500,"16,739","29,366",18.05,"196,968",30.66,15.62,
168,대웅제약,"144,000","3,500",-2.37%,"2,500","16,685","11,587",6.99,"51,708",562.50,2.38,
169,진원생명과학,"36,750","3,150",+9.38%,"1,000","16,615","45,212",12.67,"1,911,785",-77.04,-30.43,
170,동원시스템즈,"64,400","1,100",-1.68%,"5,000","16,498","25,619",1.67,"74,610",30.61,10.97,
171,DGB금융지주,"9,650",30,+0.31%,"5,000","16,323","169,146",49.91,"815,717",3.83,6.93,
172,두산,"98,000","4,000",-3.92%,"5,000","16,193","16,524",11.47,"70,014",-160.39,-34.34,
173,금호타이어,"5,500",210,-3.68%,"5,000","15,799","287,260",4.17,"608,355",74.32,-6.74,
174,SK가스,"168,000","1,500",+0.90%,"5,000","15,507","9,230",6.82,"76,192",6.26,14.91,
175,DL,"73,600","2,700",-3.54%,"5,000","15,424","20,956",15.02,"336,706",2.38,11.84,
176,KODEX 레버리지,"24,365",615,-2.46%,0,"15,399","63,200",1.04,"28,775,972",N/A,N/A,
177,KODEX 삼성그룹,"9,990",140,-1.38%,0,"15,305","153,200",0.20,"241,531",N/A,N/A,
178,한미반도체,"30,900","1,300",-4.04%,200,"15,283","49,460",6.28,"464,487",20.60,21.03,
179,TIGER 단기통안채,"100,335",0,0.00%,0,"15,185","15,134",0.78,"3,064",N/A,N/A,
180,녹십자홀딩스,"31,950",750,+2.40%,500,"15,026","47,028",5.47,"374,121",9.86,19.74,
181,한국앤컴퍼니,"15,750",350,-2.17%,500,"14,952","94,935",9.73,"191,206",6.03,5.08,
182,코스모신소재,"49,450","1,150",+2.38%,"1,000","14,878","30,087",7.57,"973,321",78.37,7.16,
183,부광약품,"20,600",300,-1.44%,500,"14,639","71,063",4.14,"880,696",-130.38,-2.46,
184,대한유화,"225,000","8,500",-3.64%,"5,000","14,625","6,500",13.73,"76,024",6.29,6.93,
185,KODEX 단기채권PLUS,"103,240",10,+0.01%,0,"14,589","14,131",0.00,"677,604",N/A,N/A,
186,코스맥스,"128,500","2,000",+1.58%,500,"14,584","11,350",24.22,"78,133",29.77,6.23,
187,롯데관광개발,"21,000",200,-0.94%,500,"14,548","69,276",6.90,"625,434",-9.30,-30.43,
188,롯데렌탈,"39,400","1,300",-3.19%,"5,000","14,434","36,634",0.90,"385,741",20.11,6.73,
189,아이에스동서,"46,400",650,-1.38%,500,"14,334","30,893",4.52,"106,650",13.23,10.92,
190,명신산업,"27,300",300,-1.09%,500,"14,324","52,470",1.96,"448,033",-11.84,-67.39,
191,솔루엠,"28,300",200,+0.71%,500,"14,152","50,006",8.69,"487,008",35.42,43.26,
192,KODEX 종합채권(AA-이상)액티브,"108,440",45,+0.04%,0,"14,014","12,923",0.00,"33,923",N/A,N/A,
193,신세계인터내셔날,"191,500","1,500",-0.78%,"5,000","13,673","7,140",5.23,"19,395",18.86,8.24,
194,NHN,"69,800",100,+0.14%,500,"13,656","19,565",12.06,"42,698",62.32,1.35,
195,LG생활건강우,"648,000","9,000",-1.37%,"5,000","13,606","2,100",84.36,"2,310",13.61,N/A,
196,F&F홀딩스,"34,750","1,400",-3.87%,500,"13,592","39,114",0.61,"145,194",0.26,16.59,
197,KG동부제철,"13,450",500,-3.58%,"5,000","13,451","100,009",1.40,"329,067",11.00,7.18,
198,롯데칠성,"144,500","2,000",-1.37%,500,"13,408","9,279",8.45,"24,759",58.86,-1.00,
199,에스엘,"27,800",300,+1.09%,500,"13,401","48,203",16.95,"98,912",8.79,4.74,
200,종근당,"117,000","2,000",-1.68%,"2,500","13,369","11,426",7.91,"39,869",15.71,17.88,
